filename	churn	size	minor	major	total	ownership	defects
src/test/compile-fail/E0396.rs	19	17	0	3	3	0.5	0
src/test/compile-fail/E0131.rs	27	14	0	4	4	0.4	0
src/test/run-make/c-static-dylib/foo.rs	6	20	0	3	3	0.3333333333333333	0
src/librustc/middle/expr_use_visitor.rs	2724	1079	28	3	31	0.3384615384615385	4
src/test/compile-fail/issue-35450.rs	16	16	0	1	1	1.0	0
src/test/compile-fail/issue-36116.rs	23	23	0	1	1	1.0	0
src/test/run-pass/child-outlives-parent.rs	2	24	0	2	2	0.5	0
src/test/ui/update-all-references.sh	31	31	0	1	1	1.0	0
src/test/compile-fail/panic-runtime/auxiliary/wants-panic-runtime-unwind.rs	16	16	0	1	1	1.0	0
src/test/run-fail/overflowing-rsh-6.rs	55	19	0	10	10	0.375	0
src/test/ui/span/issue28498-reject-passed-to-fn.stderr	24	23	0	1	1	1.0	0
src/test/ui/span/mut-arg-hint.rs	24	32	0	1	1	1.0	0
src/librustc_const_eval/Cargo.toml	46	22	0	11	11	0.2777777777777778	0
src/test/parse-fail/obsolete-proc.rs	21	19	0	4	4	0.4	0
src/test/run-make/error-found-staticlib-instead-crate/Makefile	4	5	0	2	2	0.5	0
src/test/compile-fail/symbol-names/basic.rs	16	16	0	1	1	1.0	0
src/test/run-pass/assert-ne-macro-unsized.rs	13	13	0	1	1	1.0	0
src/test/compile-fail/duplicate-type-parameter.rs	3	39	0	3	3	0.3333333333333333	0
src/doc/book/primitive-types.md	194	305	7	5	12	0.3	0
src/librustdoc/html/escape.rs	12	53	0	2	2	0.5	0
src/test/rustdoc/issue-19190.rs	9	31	0	3	3	0.3333333333333333	0
src/libcore/num/dec2flt/num.rs	2	93	0	2	2	0.5	0
src/test/compile-fail/borrowck/borrowck-for-loop-head-linkage.rs	0	20	0	1	1	1.0	0
src/test/rustdoc/auxiliary/issue-17476.rs	0	17	0	1	1	1.0	0
src/test/run-pass/extern-return-TwoU16s.rs	6	27	0	3	3	0.3333333333333333	0
src/test/compile-fail/range_traits-7.rs	20	19	0	1	1	1.0	0
src/vendor/log/src/macros.rs	155	155	0	1	1	1.0	0
src/test/compile-fail/borrowck/borrowck-lend-flow-match.rs	0	31	0	1	1	1.0	0
src/test/compile-fail/unresolved_static_type_field.rs	24	24	0	1	1	1.0	0
